Participant,Scenario,intData_HandoffTime,intData_HandoffMisses,intData_AcceptTime,intData_AcceptMisses,intData_CDT,intData_ConfMisses,intData_FalseAlarms
34,2,2405.97,0,7341.833333,0,6876,1,0
34,3,2210.3,0,3027.596667,0,12789.45,0,0
34,4,2361.276667,0,4287.225,1,13641.56,0,0
34,5,2006.566667,0,6799.436667,1,22178.7,1,0
35,1,1948.4,0,2885.986667,1,11254.43,0,0
35,2,2949.885,0,4357.483333,0,15236.4,1,0
35,3,1794.85,0,2792.32,0,14346.815,0,0
35,4,3951.293333,0,3842.73,2,12462.305,0,0
35,5,1968.833333,0,4405.233333,1,14777.425,0,0
36,1,3969.45,0,4331.195,2,11156.815,0,0
36,2,4974.035,0,4359.043333,0,16928.75,0,0
36,3,2228.7,0,5816.19,1,nan,2,0
36,4,4373.435,1,4306.075,1,13771.95,0,0
36,5,0,3,4730.44,1,24653.6,1,0
37,1,2642.2,0,2842.796667,1,nan,2,0
37,2,2543.99,1,3822.84,0,18296.5,1,0
37,3,2477.2,0,2442.73,0,nan,2,0
37,4,2038.736667,0,3245.04,1,nan,2,0
37,5,2645.7,0,3944.353333,1,nan,2,0
38,1,1707.15,0,2909.03,1,nan,2,0
38,2,3285.485,0,4436.063333,0,17142.265,0,0
38,3,1744.7,0,3404.84,1,17160.8,1,0
38,4,3837.556667,0,3140.135,1,nan,2,1
38,5,3113.2,1,4852.143333,1,nan,2,0
39,1,1812.55,0,3105.75,1,9917.54,1,0
39,2,2289.065,0,3376.153333,0,21882.1,1,0
39,3,2485.8,0,4398.015,1,14366.645,0,0
39,4,3783.673333,0,3027.785,1,13774.14,0,0
39,5,2861.1,0,4531.466667,1,nan,2,0
40,1,1649.5,0,2624.323333,1,11775.3,1,0
40,2,1760.095,0,4828.003333,0,15168.475,0,0
40,3,0,2,5161.04,2,14472.5,1,0
40,4,3207.003333,0,2737.165,1,12956.355,0,0
40,5,1688.133333,0,3515.285,2,22442.6,1,0
41,1,2163.8,0,2505.513333,1,8310.38,1,0
41,2,3097.265,0,3967.08,0,17812.4,0,0
41,3,4803.7,0,4048.625,1,14082.14,0,0
41,4,3303.47,1,3626.105,1,12320.32,0,0
41,5,5713.8,1,3521.715,2,11176.4,1,0
42,1,1461.1,0,2620.533333,1,7500.67,1,0
42,2,3207.57,0,5509.333333,0,9202.71,1,0
